		1			2			3
ya1		1.000		1.000		1.000
ya2		1.000		1.000		1.000
ya3		1.000		1.000		1.000
ya4		1.000		1.000		1.000
ya5		1.000		1.000		1.000
ya6		1.000		1.000		1.000
ya7		1.000		1.000		1.000
ya8		1.000		1.000		1.000
ya9		1.000		1.000		1.000
ya12	1.000		1.000		1.000
ya13	1.000		1.000		1.000
ya15	1.000		1.000		1.000
ya16	1.000		1.000		1.000
ya17	1.000		1.000		1.000
ya18	1.000		1.000		1.000
ya19	1.000		1.000		1.000
ya20	1.000		1.000		1.000
ya21	1.000		1.000		1.000
ya22	1.000		1.000		1.000
ya23	1.000		1.000		1.000
ya24	1.000		1.000		1.000
ya25	1.000		1.000		1.000
ya26	1.000		1.000		1.000
ya27	1.000		1.000		1.000
ya29	1.000		1.000		1.000
ya30	1.000		1.000		1.000
ya31	1.000		1.000		1.000
ya32	1.000		1.000		1.000
ya33	1.000		1.000		1.000
